│ premium │ Tier 1    │ late-night    │      120.0 │               22 │          44 │    123.63 │      5433.71 │     246.99 │         45 │         -0.0222 │
│ premium │ Tier 1    │ late-night    │      140.0 │               37 │          69 │    144.63 │      9992.67 │     270.07 │         44 │          0.5682 │
│ premium │ Tier 1    │ late-night    │      150.0 │               16 │          22 │    153.88 │      3385.01 │     211.56 │         69 │         -0.6812 │
│ premium │ Tier 1    │ late-night    │      160.0 │                6 │          11 │    164.87 │      1812.13 │     302.02 │         22 │            -0.5 │
│ unknown │ Tier 1    │ marathon-prep │        0.0 │               18 │         187 │      7.96 │      1652.57 │      91.81 │       NULL │             0.0 │
│ unknown │ Tier 1    │ marathon-prep │       10.0 │               26 │          48 │     14.48 │       703.26 │      27.05 │        187 │         -0.7433 │
│ unknown │ Tier 1    │ marathon-prep │       20.0 │                9 │          20 │     23.83 │       492.04 │      54.67 │         48 │         -0.5833 │
│ unknown │ Tier 1    │ marathon-prep │       30.0 │                8 │          17 │     32.41 │       549.21 │      68.65 │         20 │           -0.15 │
│ unknown │ Tier 1    │ marathon-prep │       40.0 │                8 │          16 │      44.9 │       725.78 │      90.72 │         17 │         -0.0588 │
│ unknown │ Tier 1    │ marathon-prep │       50.0 │                5 │           9 │     54.57 │        493.3 │      98.66 │         16 │         -0.4375 │
│ unknown │ Tier 3    │ marathon-prep │        0.0 │               16 │          38 │      8.43 │       320.63 │      20.04 │       NULL │             0.0 │
│ unknown │ Tier 3    │ marathon-prep │       10.0 │               21 │          44 │     14.51 │       627.73 │      29.89 │         38 │          0.1579 │
│ unknown │ Tier 3    │ marathon-prep │       20.0 │                9 │          18 │     24.41 │       421.98 │      46.89 │         44 │         -0.5909 │
│ unknown │ Tier 3    │ marathon-prep │       30.0 │                5 │          14 │     35.29 │       491.81 │      98.36 │         18 │         -0.2222 │
└─────────┴───────────┴───────────────┴────────────┴──────────────────┴─────────────┴───────────┴──────────────┴────────────┴────────────┴─────────────────┘
  1258 rows (40 shown)                                             use .last to show entire result                                              11 columns
