order_id,product_id,price,quantity,channel,revenue,persona,income_bracket,trend_affinity,state,city_tier,occasion,category,claims,pack_size
ORD029874,P010,19.2,1,Retail,19.2,budget,Medium,protein,NY,Tier 2,religious-fasting,healthy snack,"clean-label, vegan, nut-free, kosher",Single
ORD020786,P089,4.78,3,Website,14.34,fitness,Medium,protein,Georgia,Tier 1,daily snack,electrolyte drink,"gluten-free, plant-based",Single
ORD000651,P115,36.05,1,Website,36.05,budget,Medium,protein,Calfornia,Tier 2,gym,protein bar,vegan,4-Pack
ORD032734,P010,14.95,2,Gym Kiosk,29.9,budget,Low,plant-based,Georgia,Unknown,on-the-go,healthy snack,"clean-label, vegan, nut-free, kosher",Single
ORD027703,P056,12.69,3,Website,38.07,unknown,High,plant-based,Washington,Tier 1,daily snack,proten shake,"vegan, diabetic-friendly, jain-friendly",Single
ORD035271,P097,14.72,2,Website,29.44,budget,Low,clean-label,Washington,Tier 3,festive,protein bar,"vegan, kosher, plant-based, jain-friendly",Single
ORD046956,P061,34.75,3,Marketplace,104.25,fitness,Medium,plant-based,Florida,Tier 3,religious-fasting,supplement,"vegan, high-protein, keto-friendly",4-Pack
ORD039291,P065,17.7,2,Gym Kiosk,35.4,premium,Medium,clean-label,Florida,Tier 1,religious-fasting,,"nut-free, low-sugar",Single
ORD022353,P147,8.02,2,App,16.04,fitness,Medium,protein,Colorado,Tier 3,late-night,proten shake,"jain-friendly, diabetic-friendly",Single
ORD013104,P003,9.86,1,Retail,9.86,casual,Medium,gut-health,Colorado,Tier 1,festive,proten shake,jain-friendly,Single
ORD019554,P144,32.73,4,Retail,130.92,casual,Low,protein,Calfornia,Unknown,late-night,meal replacement,"halal, diabetic-friendly, low-sugar",4-Pack
ORD034354,P030,7.01,3,Marketplace,21.03,fitness,Low,low-sugar,Washington,Tier 1,daily snack,electrolyte drink,"gluten-free, kosher",Single
ORD017617,P117,16.51,1,App,16.51,casual,Medium,plant-based,Georgia,Tier 1,gym,meal replacement,"low-sugar, jain-friendly, high-protein",Single
ORD042494,P150,12.52,2,Retail,25.04,fitness,Medium,plant-based,California,Tier 2,gym,meal replacement,"halal, low-sugar",Single
ORD027206,P030,7.14,3,Website,21.419999999999998,fitness,Medium,plant-based,Georgia,Tier 2,road-trip,electrolyte drink,"gluten-free, kosher",Single
ORD027837,P033,24.03,2,App,48.06,unknown,High,plant-based,Washington,Tier 3,late-night,healthy snack,"clean-label, keto-friendly, high-protein",Single
ORD007776,P040,7.72,3,Website,23.16,unknown,High,protein,Calfornia,Tier 2,late-night,supplement,"high-protein, jain-friendly, nut-free",Single
ORD026298,P031,8.62,2,Website,17.24,premium,Medium,plant-based,Calfornia,Tier 2,on-the-go,healthy snack,"diabetic-friendly, jain-friendly",Single
ORD027439,P138,12.61,1,App,12.61,unknown,High,protein,California,Tier 1,late-night,meal replacement,"nut-free, jain-friendly",Single
ORD010477,P083,30.21,3,Gym Kiosk,90.63,casual,High,plant-based,Washington,Tier 2,daily snack,proten shake,"diabetic-friendly, keto-friendly",4-Pack
ORD014696,P038,771.0,1,Retail,771.0,fitness,High,low-sugar,New York,Tier 2,religious-fasting,protein bar,"high-protein, halal",Single
ORD035761,P122,23.31,1,Marketplace,23.31,premium,Medium,low-sugar,New York,Unknown,festive,meal replacement,"halal, high-protein, jain-friendly, keto-friendly",4-Pack
ORD002293,P077,78.77,5,Gym Kiosk,393.84999999999997,premium,Medium,protein,Texas,Tier 3,religious-fasting,protein bar,diabetic-friendly,12-Pack
ORD048368,P084,18.16,1,Website,18.16,fitness,Medium,clean-label,California,Tier 1,marathon-prep,supplement,"halal, clean-label",Single
ORD036482,P145,7.52,1,Marketplace,7.52,premium,High,clean-label,Calfornia,Tier 1,late-night,healthy snack,"gluten-free, jain-friendly, plant-based",Single
ORD022537,P143,16.59,2,App,33.18,fitness,Medium,protein,Colorado,Tier 2,gym,protein bar,"nut-free, kosher, keto-friendly",Single
ORD006327,P009,21.22,3,Gym Kiosk,63.66,casual,Medium,clean-label,NY,Tier 2,gym,electrolyte drink,clean-label,Single
ORD045701,P127,92.49,6,Marketplace,554.9399999999999,unknown,Low,low-sugar,California,Tier 1,late-night,supplement,"vegan, low-sugar, diabetic-friendly, keto-friendly",12-Pack
ORD045772,P139,15.33,3,Marketplace,45.99,fitness,Low,clean-label,Washington,Tier 1,road-trip,healthy snack,"high-protein, low-sugar, clean-label, jain-friendly",Single
ORD022965,P085,63.48,1,App,63.48,budget,High,plant-based,New York,Tier 2,religious-fasting,protein bar,kosher,4-Pack
ORD024603,P015,16.51,5,Website,82.55000000000001,casual,Medium,protein,New York,Tier 1,late-night,meal replacement,"clean-label, diabetic-friendly",Single
ORD047423,P054,57.26,3,Gym Kiosk,171.78,casual,Low,clean-label,Illinois,Tier 1,late-night,supplement,"clean-label, jain-friendly, halal, vegan",12-Pack
ORD003251,P083,30.21,3,App,90.63,casual,Medium,protein,California,Tier 1,marathon-prep,proten shake,"diabetic-friendly, keto-friendly",4-Pack
ORD032986,P094,10.48,3,Website,31.44,premium,Medium,gut-health,Texas,Tier 3,religious-fasting,protein bar,gluten-free,Single
ORD040011,P123,7.69,2,Gym Kiosk,15.38,premium,Medium,plant-based,New York,Tier 3,road-trip,proten shake,"gluten-free, keto-friendly, kosher, low-sugar",Single
ORD009863,P026,18.48,1,App,18.48,casual,Medium,low-sugar,Georgia,Tier 2,gym,electrolyte drink,"gluten-free, diabetic-friendly, vegan",4-Pack
ORD030031,P064,79.7,3,App,239.10000000000002,fitness,Low,protein,Georgia,Unknown,late-night,electrolyte drink,"nut-free, clean-label, diabetic-friendly",12-Pack
ORD024219,P029,79.5,2,Marketplace,159.0,casual,Medium,plant-based,Illinois,Tier 1,late-night,proten shake,high-protein,12-Pack
ORD018654,P136,25.58,3,Gym Kiosk,76.74,premium,Low,protein,California,Tier 3,road-trip,electrolyte drink,"high-protein, nut-free",4-Pack
ORD000644,P031,6.29,1,App,6.29,casual,Low,plant-based,Georgia,Tier 2,marathon-prep,healthy snack,"diabetic-friendly, jain-friendly",Single
ORD015957,P023,37.78,3,App,113.34,budget,Medium,protein,New York,Tier 1,on-the-go,proten shake,plant-based,4-Pack
ORD042824,P075,56.69,1,Retail,56.69,fitness,Medium,protein,Calfornia,Tier 2,late-night,meal replacement,"halal, clean-label, gluten-free, vegan",4-Pack
ORD035314,P067,9.56,1,Retail,9.56,budget,Medium,plant-based,Florida,Tier 2,festive,supplement,halal,Single
ORD005562,P024,10.69,2,App,21.38,fitness,Low,gut-health,Illinois,Tier 2,road-trip,supplement,"gluten-free, kosher",Single
ORD011610,P060,80.55,4,Retail,322.2,premium,Low,low-sugar,Georgia,Tier 3,on-the-go,proten shake,"clean-label, jain-friendly, kosher",12-Pack
ORD030179,P033,19.53,2,Retail,39.06,casual,Low,protein,New York,Tier 1,daily snack,healthy snack,"clean-label, keto-friendly, high-protein",Single
ORD004171,P099,8.41,1,Marketplace,8.41,casual,Medium,low-sugar,Washington,Tier 1,late-night,supplement,"diabetic-friendly, jain-friendly, high-protein, vegan",Single
ORD035356,P070,7.68,3,Website,23.04,fitness,Medium,clean-label,Texas,Unknown,on-the-go,protein bar,"high-protein, vegan",Single
ORD047157,P093,18.03,1,Retail,18.03,premium,Medium,protein,New York,Tier 2,religious-fasting,protein bar,halal,Single
ORD031830,P142,52.99,5,Marketplace,264.95,budget,High,protein,Colorado,Tier 3,religious-fasting,protein shake,"gluten-free, high-protein, jain-friendly, kosher",12-Pack
ORD022215,P128,20.12,2,Retail,40.24,premium,Low,protein,Calfornia,Tier 1,late-night,meal replacement,"jain-friendly, low-sugar, diabetic-friendly",Single
ORD020593,P061,42.62,2,App,85.24,unknown,High,protein,Illinois,Tier 3,festive,supplement,"vegan, high-protein, keto-friendly",4-Pack
ORD016410,P132,55.59,2,App,111.18,premium,Medium,protein,Colorado,Tier 1,late-night,proten shake,plant-based,4-Pack
ORD014915,P110,54.15,1,Website,54.15,budget,Low,gut-health,Calfornia,Tier 1,late-night,protein bar,"gluten-free, halal",4-Pack
ORD032482,P149,21.68,1,App,21.68,fitness,Medium,gut-health,Illinois,Tier 2,marathon-prep,protein bar,clean-label,Single
ORD049816,P015,19.83,2,Gym Kiosk,39.66,premium,Low,plant-based,Calfornia,Tier 1,late-night,meal replacement,"clean-label, diabetic-friendly",Single
ORD049952,P081,95.78,1,Website,95.78,premium,Low,clean-label,Colorado,Tier 2,on-the-go,protein bar,"vegan, nut-free",12-Pack
ORD005701,P045,13.62,1,Website,13.62,casual,High,protein,Colorado,Tier 1,on-the-go,healthy snack,"plant-based, kosher, low-sugar",Single
ORD046020,P128,16.76,1,Gym Kiosk,16.76,premium,Low,protein,Calfornia,Tier 3,festive,meal replacement,"jain-friendly, low-sugar, diabetic-friendly",Single
ORD026977,P049,18.97,1,Marketplace,18.97,fitness,Medium,protein,Washington,Tier 1,late-night,protein shake,"high-protein, gluten-free, diabetic-friendly, nut-free",Single
ORD029128,P137,5.24,1,App,5.24,casual,Low,gut-health,Georgia,Tier 2,marathon-prep,protein shake,kosher,Single
ORD033969,P122,23.31,3,Retail,69.92999999999999,casual,Medium,low-sugar,Texas,Tier 3,late-night,meal replacement,"halal, high-protein, jain-friendly, keto-friendly",4-Pack
ORD024534,P100,10.91,3,App,32.730000000000004,casual,Low,protein,Florida,Tier 3,marathon-prep,protein bar,"kosher, gluten-free",Single
ORD043269,P060,138.0,1,Marketplace,138.0,premium,Medium,clean-label,Florida,Tier 2,on-the-go,proten shake,"clean-label, jain-friendly, kosher",12-Pack
ORD013570,P099,6.73,2,Website,13.46,budget,Low,protein,Washington,Tier 1,religious-fasting,supplement,"diabetic-friendly, jain-friendly, high-protein, vegan",Single
ORD002399,P127,202.09,1,Marketplace,202.09,fitness,Medium,low-sugar,New York,Tier 1,late-night,supplement,"vegan, low-sugar, diabetic-friendly, keto-friendly",12-Pack
ORD047298,P103,32.77,1,App,32.77,fitness,Medium,low-sugar,Washington,Tier 3,marathon-prep,protein shake,diabetic-friendly,4-Pack
ORD039404,P041,8.85,1,App,8.85,fitness,Medium,low-sugar,Texas,Unknown,gym,healthy snack,"high-protein, gluten-free, diabetic-friendly, kosher",Single
ORD000807,P025,49.25,2,Website,98.5,casual,Medium,plant-based,Illinois,Tier 1,daily snack,meal replacement,"keto-friendly, vegan, low-sugar, diabetic-friendly",4-Pack
ORD022522,P063,146.6,1,Marketplace,146.6,premium,High,protein,California,Tier 1,late-night,protein bar,"low-sugar, keto-friendly, jain-friendly",12-Pack
ORD030395,P069,8.4,4,Marketplace,33.6,fitness,Low,low-sugar,Washington,Tier 2,on-the-go,meal replacement,plant-based,Single
ORD043482,P010,22.06,2,Gym Kiosk,44.12,budget,Low,protein,Colorado,Unknown,daily snack,healthy snack,"clean-label, vegan, nut-free, kosher",Single
ORD017251,P045,13.86,1,Website,13.86,fitness,Low,clean-label,New York,Tier 1,late-night,healthy snack,"plant-based, kosher, low-sugar",Single
ORD049532,P100,10.91,3,Marketplace,32.730000000000004,unknown,High,low-sugar,Calfornia,Tier 1,on-the-go,protein bar,"kosher, gluten-free",Single
ORD026212,P015,15.11,6,Retail,90.66,premium,Medium,clean-label,Calfornia,Unknown,marathon-prep,meal replacement,"clean-label, diabetic-friendly",Single
ORD007302,P022,25.23,2,App,50.46,budget,Medium,plant-based,Colorado,Unknown,marathon-prep,protein bar,"gluten-free, vegan, clean-label, keto-friendly",Single
ORD040727,P132,55.91,2,App,111.82,fitness,Medium,gut-health,California,Tier 3,late-night,proten shake,plant-based,4-Pack
ORD004170,P136,41.77,2,App,83.54,premium,High,gut-health,Washington,Tier 2,on-the-go,electrolyte drink,"high-protein, nut-free",4-Pack
ORD044406,P020,32.59,1,Website,32.59,casual,Medium,gut-health,Illinois,Tier 1,festive,electrolyte drink,"low-sugar, high-protein",4-Pack
ORD005605,P073,15.7,1,Retail,15.7,fitness,Medium,clean-label,New York,Tier 1,marathon-prep,protein bar,"jain-friendly, high-protein, halal, keto-friendly",Single
ORD000431,P026,26.1,2,App,52.2,budget,Low,low-sugar,Colorado,Tier 1,daily snack,electrolyte drink,"gluten-free, diabetic-friendly, vegan",4-Pack
ORD018750,P074,22.9,3,App,68.69999999999999,budget,Medium,plant-based,Florida,Tier 2,festive,proten shake,"high-protein, gluten-free, clean-label, plant-based",Single
ORD044625,P014,27.46,6,Marketplace,164.76,fitness,Low,low-sugar,California,Tier 2,festive,protein shake,"keto-friendly, gluten-free",4-Pack
ORD016029,P145,8.35,2,Gym Kiosk,16.7,casual,Low,protein,Calfornia,Tier 3,gym,healthy snack,"gluten-free, jain-friendly, plant-based",Single
ORD014753,P093,13.47,1,App,13.47,casual,Medium,plant-based,New York,Tier 2,on-the-go,protein bar,halal,Single
ORD028674,P096,27.51,2,Website,55.02,fitness,Medium,protein,Georgia,Tier 3,marathon-prep,electrolyte drink,high-protein,4-Pack
ORD049504,P013,14.25,3,Website,42.75,premium,Low,plant-based,Florida,Tier 2,marathon-prep,electrolyte drink,"kosher, diabetic-friendly, clean-label",Single
ORD007101,P063,180.31,2,Gym Kiosk,360.62,casual,Medium,low-sugar,Florida,Tier 1,late-night,protein bar,"low-sugar, keto-friendly, jain-friendly",12-Pack
ORD042799,P037,42.38,3,Website,127.14000000000001,premium,High,gut-health,Calfornia,Tier 1,late-night,supplement,"halal, keto-friendly, low-sugar",4-Pack
ORD041985,P098,15.0,2,Retail,30.0,budget,High,plant-based,California,Tier 1,late-night,supplement,"kosher, nut-free",Single
ORD006721,P014,32.55,2,Website,65.1,premium,Medium,clean-label,Florida,Tier 2,festive,protein shake,"keto-friendly, gluten-free",4-Pack
ORD002589,P135,13.48,2,Retail,26.96,budget,Medium,low-sugar,NY,Tier 1,gym,electrolyte drink,"gluten-free, low-sugar, plant-based, vegan",Single
ORD004819,P026,25.85,1,Gym Kiosk,25.85,premium,High,low-sugar,New York,Tier 2,road-trip,electrolyte drink,"gluten-free, diabetic-friendly, vegan",4-Pack
ORD021048,P074,28.23,2,Gym Kiosk,56.46,premium,Medium,clean-label,NY,Tier 2,marathon-prep,proten shake,"high-protein, gluten-free, clean-label, plant-based",Single
ORD015483,P127,80.91,6,Gym Kiosk,485.46,budget,Low,low-sugar,Texas,Tier 1,religious-fasting,supplement,"vegan, low-sugar, diabetic-friendly, keto-friendly",12-Pack
ORD037258,P131,188.79,2,Website,377.58,fitness,Medium,gut-health,Calfornia,Tier 2,road-trip,proten shake,"high-protein, low-sugar, nut-free",12-Pack
ORD021595,P043,22.5,1,Marketplace,22.5,fitness,Low,clean-label,Texas,Unknown,festive,protein bar,"diabetic-friendly, high-protein, keto-friendly, clean-label",Single
ORD040674,P072,52.04,1,Website,52.04,casual,Medium,gut-health,New York,Tier 3,marathon-prep,,"gluten-free, low-sugar, halal, kosher",4-Pack
ORD036292,P103,27.16,2,App,54.32,premium,Low,gut-health,Illinois,Tier 2,late-night,protein shake,diabetic-friendly,4-Pack
ORD022636,P091,23.04,1,Retail,23.04,premium,Medium,protein,Florida,Tier 2,daily snack,healthy snack,clean-label,Single
ORD005972,P062,14.88,5,Marketplace,74.4,casual,Low,gut-health,Texas,Unknown,daily snack,protein bar,"clean-label, diabetic-friendly, plant-based",Single
ORD033862,P134,18.21,1,Gym Kiosk,18.21,fitness,Low,plant-based,NY,Tier 2,road-trip,protein bar,"clean-label, high-protein, nut-free",Single
ORD047802,P098,14.71,2,Gym Kiosk,29.42,fitness,Low,clean-label,Illinois,Tier 3,religious-fasting,supplement,"kosher, nut-free",Single
ORD035996,P140,16.63,2,Retail,33.26,budget,Medium,clean-label,New York,Tier 2,gym,electrolyte drink,"vegan, plant-based, keto-friendly",Single
ORD006439,P092,7.92,2,Website,15.84,premium,High,clean-label,Calfornia,Tier 1,road-trip,protein bar,"jain-friendly, gluten-free, vegan",Single
ORD032530,P135,10.78,1,Marketplace,10.78,budget,Low,protein,California,Tier 2,on-the-go,electrolyte drink,"gluten-free, low-sugar, plant-based, vegan",Single
ORD038865,P051,26.01,2,App,52.02,casual,High,low-sugar,California,Tier 1,on-the-go,proten shake,"vegan, gluten-free, halal",4-Pack
ORD022599,P122,27.72,3,Website,83.16,fitness,Low,protein,Calfornia,Tier 1,on-the-go,meal replacement,"halal, high-protein, jain-friendly, keto-friendly",4-Pack
ORD040285,P084,14.5,3,App,43.5,fitness,Medium,low-sugar,Calfornia,Tier 2,road-trip,supplement,"halal, clean-label",Single
ORD036028,P147,9.69,3,App,29.07,fitness,High,clean-label,New York,Tier 1,on-the-go,proten shake,"jain-friendly, diabetic-friendly",Single
ORD016117,P031,5.21,2,Website,10.42,fitness,Low,plant-based,NY,Tier 1,late-night,healthy snack,"diabetic-friendly, jain-friendly",Single
ORD003997,P002,12.22,1,Retail,12.22,casual,Medium,clean-label,Colorado,Tier 2,religious-fasting,meal replacement,"plant-based, halal, kosher, low-sugar",Single
ORD026693,P144,33.69,4,Marketplace,134.76,fitness,Low,low-sugar,Illinois,Tier 1,late-night,meal replacement,"halal, diabetic-friendly, low-sugar",4-Pack
ORD017213,P128,13.11,1,App,13.11,premium,Medium,protein,Texas,Unknown,gym,meal replacement,"jain-friendly, low-sugar, diabetic-friendly",Single
ORD035084,P024,12.84,2,Website,25.68,casual,Medium,low-sugar,NY,Tier 3,festive,supplement,"gluten-free, kosher",Single
ORD047889,P040,10.14,1,Gym Kiosk,10.14,fitness,Low,clean-label,Florida,Tier 3,on-the-go,supplement,"high-protein, jain-friendly, nut-free",Single
ORD036661,P069,8.49,4,Gym Kiosk,33.96,fitness,Low,low-sugar,Georgia,Tier 1,late-night,meal replacement,plant-based,Single
ORD021212,P066,14.23,2,Marketplace,28.46,premium,Medium,plant-based,Florida,Tier 3,road-trip,protein bar,"nut-free, gluten-free, kosher",Single
ORD011886,P013,14.87,2,Gym Kiosk,29.74,fitness,High,protein,Calfornia,Tier 3,on-the-go,electrolyte drink,"kosher, diabetic-friendly, clean-label",Single
ORD019747,P106,9.72,3,App,29.160000000000004,premium,Medium,plant-based,Colorado,Tier 2,late-night,meal replacement,"halal, jain-friendly",Single
ORD007468,P118,38.43,3,Gym Kiosk,115.28999999999999,fitness,High,protein,Texas,Tier 1,late-night,healthy snack,"kosher, nut-free, clean-label, vegan",4-Pack
ORD042198,P080,14.54,1,Marketplace,14.54,budget,High,gut-health,NY,Tier 1,late-night,healthy snack,"jain-friendly, clean-label, keto-friendly",Single
ORD035940,P032,9.04,2,Website,18.08,budget,Medium,low-sugar,Illinois,Tier 1,gym,protein bar,gluten-free,Single
ORD010945,P039,27.08,4,Marketplace,108.32,premium,Low,low-sugar,New York,Tier 1,late-night,protein shake,"halal, kosher, keto-friendly, nut-free",4-Pack
ORD021206,P108,88.1,2,Gym Kiosk,176.2,budget,Medium,clean-label,New York,Tier 2,late-night,meal replacement,"gluten-free, jain-friendly",12-Pack
ORD038038,P126,10.08,2,Website,20.16,casual,High,gut-health,California,Tier 1,festive,meal replacement,"nut-free, low-sugar",Single
ORD043228,P126,10.27,1,Website,10.27,premium,Medium,plant-based,Florida,Tier 2,on-the-go,meal replacement,"nut-free, low-sugar",Single
ORD002331,P037,56.61,1,Website,56.61,casual,Medium,clean-label,Colorado,Tier 2,daily snack,supplement,"halal, keto-friendly, low-sugar",4-Pack
ORD021557,P011,16.12,2,Website,32.24,budget,Medium,protein,Colorado,Tier 1,late-night,proten shake,"kosher, jain-friendly, plant-based",Single
ORD015861,P051,27.71,2,Retail,55.42,unknown,Medium,gut-health,NY,Unknown,marathon-prep,proten shake,"vegan, gluten-free, halal",4-Pack
ORD007244,P027,54.46,2,Marketplace,108.92,fitness,Medium,plant-based,Georgia,Tier 1,road-trip,protein shake,vegan,12-Pack
ORD002492,P103,20.13,3,Retail,60.39,budget,Medium,protein,New York,Tier 1,religious-fasting,protein shake,diabetic-friendly,4-Pack
ORD046941,P045,8.54,4,Marketplace,34.16,casual,Low,protein,Florida,Tier 1,late-night,healthy snack,"plant-based, kosher, low-sugar",Single
ORD041898,P057,152.77,2,Retail,305.54,fitness,Medium,low-sugar,California,Tier 1,late-night,supplement,"keto-friendly, gluten-free, jain-friendly",12-Pack
ORD001449,P035,13.82,2,App,27.64,budget,Medium,plant-based,Georgia,Tier 1,religious-fasting,proten shake,"clean-label, vegan, keto-friendly, jain-friendly",Single
ORD005054,P090,31.78,2,Marketplace,63.56,budget,High,protein,Washington,Tier 3,religious-fasting,protein bar,"vegan, clean-label, low-sugar",4-Pack
ORD023480,P102,22.12,2,Marketplace,44.24,premium,Medium,gut-health,Illinois,Tier 1,road-trip,healthy snack,"plant-based, kosher, vegan",4-Pack
ORD048139,P079,24.2,1,Marketplace,24.2,budget,Medium,gut-health,New York,Unknown,festive,meal replacement,"plant-based, clean-label, halal",Single
ORD038831,P100,10.91,1,Website,10.91,casual,Low,clean-label,NY,Tier 1,late-night,protein bar,"kosher, gluten-free",Single
ORD001013,P085,5955.0,2,Gym Kiosk,11910.0,budget,Low,low-sugar,Illinois,Tier 2,road-trip,protein bar,kosher,4-Pack
ORD041424,P002,11.62,3,App,34.86,budget,High,plant-based,Illinois,Unknown,late-night,meal replacement,"plant-based, halal, kosher, low-sugar",Single
ORD046443,P060,87.68,6,App,526.08,fitness,Low,plant-based,Washington,Tier 3,daily snack,proten shake,"clean-label, jain-friendly, kosher",12-Pack
ORD021790,P071,12.58,2,Marketplace,25.16,budget,High,plant-based,Florida,Tier 3,religious-fasting,protein bar,"plant-based, high-protein, keto-friendly",Single
ORD001922,P002,11.48,2,Gym Kiosk,22.96,budget,Medium,protein,Washington,Tier 3,gym,meal replacement,"plant-based, halal, kosher, low-sugar",Single
ORD032442,P100,14.1,2,App,28.2,premium,High,protein,Georgia,Tier 1,late-night,protein bar,"kosher, gluten-free",Single
ORD014574,P117,16.14,1,Retail,16.14,premium,Medium,gut-health,Washington,Tier 1,late-night,meal replacement,"low-sugar, jain-friendly, high-protein",Single
ORD040241,P020,32.59,2,App,65.18,budget,Medium,gut-health,Washington,Unknown,on-the-go,electrolyte drink,"low-sugar, high-protein",4-Pack
ORD004566,P097,17.76,2,Website,35.52,premium,Low,gut-health,New York,Tier 1,late-night,protein bar,"vegan, kosher, plant-based, jain-friendly",Single
ORD036138,P130,40.98,3,App,122.94,fitness,Low,gut-health,Illinois,Tier 3,religious-fasting,meal replacement,vegan,4-Pack
ORD027739,P103,27.16,1,Gym Kiosk,27.16,premium,Medium,gut-health,Calfornia,Tier 1,late-night,protein shake,diabetic-friendly,4-Pack
ORD010408,P144,33.14,5,Marketplace,165.7,fitness,Medium,gut-health,California,Tier 3,late-night,meal replacement,"halal, diabetic-friendly, low-sugar",4-Pack
ORD011747,P020,32.59,3,Retail,97.77000000000001,premium,Medium,clean-label,Texas,Tier 1,on-the-go,electrolyte drink,"low-sugar, high-protein",4-Pack
ORD006868,P008,12.33,2,Website,24.66,budget,Low,gut-health,Colorado,Tier 1,on-the-go,protein bar,"diabetic-friendly, kosher",Single
ORD045159,P141,49.88,3,Retail,149.64000000000001,casual,Low,gut-health,California,Unknown,late-night,healthy snack,"gluten-free, kosher, diabetic-friendly",4-Pack
ORD033278,P113,39.72,5,Gym Kiosk,198.6,fitness,Low,plant-based,Texas,Unknown,festive,meal replacement,vegan,4-Pack
ORD007765,P141,60.41,1,Retail,60.41,budget,Low,low-sugar,Florida,Tier 1,marathon-prep,healthy snack,"gluten-free, kosher, diabetic-friendly",4-Pack
ORD041040,P097,14.72,3,Marketplace,44.160000000000004,fitness,High,gut-health,Washington,Tier 1,late-night,protein bar,"vegan, kosher, plant-based, jain-friendly",Single
ORD040257,P063,146.6,2,Website,293.2,budget,Medium,low-sugar,Calfornia,Tier 1,gym,protein bar,"low-sugar, keto-friendly, jain-friendly",12-Pack
ORD028158,P006,5.13,3,App,15.39,budget,Medium,protein,Calfornia,Tier 2,gym,protein shake,"gluten-free, halal, kosher",Single
ORD017580,P010,16.34,2,Retail,32.68,premium,Medium,plant-based,Calfornia,Tier 1,religious-fasting,healthy snack,"clean-label, vegan, nut-free, kosher",Single
ORD033341,P016,13.96,2,Marketplace,27.92,fitness,Medium,protein,California,Tier 3,religious-fasting,protein shake,nut-free,Single
ORD045281,P034,8.62,3,App,25.86,fitness,Low,gut-health,Illinois,Tier 3,road-trip,proten shake,nut-free,Single
